service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"20331000001","0","0","0","0","0","0","1","20201206","20201220"
"20331000010","0","0","0","0","0","0","1","20201220","20201220"
"20331000011","0","0","0","0","0","0","1","20201206","20201213"
"20331000012","0","0","0","0","0","0","1","20201206","20201220"
"20331000013","0","0","0","1","0","0","0","20201203","20201217"
"20331000014","0","0","0","1","0","0","0","20201203","20201217"
"20331000015","0","0","0","1","0","0","0","20201203","20201217"
"20331000016","0","0","0","1","0","0","0","20201203","20201217"
"20331000017","0","0","0","1","0","0","0","20201203","20201217"
"20331000018","0","0","0","1","0","0","0","20201203","20201217"
"20331000019","1","0","0","0","0","0","0","20201207","20201214"
"20331000002","0","0","0","0","0","1","0","20201205","20201219"
"20331000020","1","0","0","0","0","0","0","20201207","20201214"
"20331000021","1","0","0","0","0","0","0","20201130","20201130"
"20331000022","1","0","0","0","0","0","0","20201130","20201130"
"20331000023","1","0","0","0","0","0","0","20201130","20201130"
"20331000024","1","0","0","0","0","0","0","20201130","20201130"
"20331000025","1","0","0","0","0","0","0","20201207","20201214"
"20331000026","1","0","0","0","0","0","0","20201207","20201214"
"20331000027","1","0","0","0","0","0","0","20201130","20201214"
"20331000028","1","0","0","0","0","0","0","20201130","20201214"
"20331000029","0","1","0","0","0","0","0","20201208","20201215"
"20331000003","1","1","0","1","1","0","0","20201130","20201218"
"20331000030","0","1","0","0","0","0","0","20201208","20201215"
"20331000031","0","1","0","0","0","0","0","20201201","20201201"
"20331000032","0","1","0","0","0","0","0","20201201","20201201"
"20331000033","0","1","0","0","0","0","0","20201201","20201215"
"20331000034","0","1","0","0","0","0","0","20201201","20201215"
"20331000035","0","1","0","0","0","0","0","20201201","20201215"
"20331000036","0","1","0","0","0","0","0","20201201","20201215"
"20331000037","0","0","1","0","0","0","0","20201202","20201216"
"20331000038","0","0","1","0","0","0","0","20201202","20201216"
"20331000039","0","0","1","0","0","0","0","20201202","20201216"
"20331000004","0","0","1","0","0","0","0","20201202","20201216"
"20331000040","0","0","1","0","0","0","0","20201202","20201216"
"20331000041","0","0","1","0","0","0","0","20201202","20201216"
"20331000042","0","0","1","0","0","0","0","20201202","20201216"
"20331000043","0","0","0","0","0","1","0","20201205","20201219"
"20331000044","0","0","0","0","0","1","0","20201205","20201219"
"20331000045","0","0","0","0","0","0","1","20201206","20201220"
"20331000046","0","0","0","0","0","1","0","20201205","20201219"
"20331000047","1","1","1","1","1","0","0","20201130","20201218"
"20331000048","0","0","0","0","1","0","0","20201204","20201204"
"20331000049","0","0","0","0","1","0","0","20201204","20201204"
"20331000005","0","0","1","0","0","0","0","20201202","20201216"
"20331000050","0","0","0","0","1","0","0","20201211","20201218"
"20331000051","0","0","0","0","1","0","0","20201211","20201218"
"20331000052","0","0","0","0","1","0","0","20201204","20201218"
"20331000053","0","0","0","0","1","0","0","20201204","20201218"
"20331000054","0","0","0","0","1","0","0","20201204","20201218"
"20331000055","0","0","0","0","1","0","0","20201204","20201218"
"20331000006","0","0","0","0","0","1","0","20201205","20201219"
"20331000007","1","0","0","0","0","0","0","20201130","20201218"
"20331000008","0","1","0","0","0","0","0","20201201","20201215"
"20331000009","0","0","1","0","0","0","0","20201202","20201216"
